ID,VID,PLID,Type,LinkID
1033,1235,105,1,37746
1034,1236,105,2,37746
1035,1237,105,3,37746
1036,1238,105,1,57742
1037,1239,105,2,57742
1038,1240,105,3,57742
1039,1241,106,1,55031
1040,1242,106,2,55031
1041,1243,106,3,55031
1042,1244,106,1,56115
1043,1245,106,2,56115
1044,1246,106,3,56115
1045,1247,107,1,40080
1046,1248,107,2,40080
1047,1249,107,3,40080
1048,1250,107,1,40080
1049,1251,107,2,40080
1050,1252,107,3,40080
1051,1253,108,1,36121
1052,1254,108,2,36121
1053,1255,108,3,36121
1054,1256,108,1,19934
1055,1257,108,2,19934
1056,1258,108,3,19934
1057,1259,108,1,34847
1058,1260,108,2,34847
1059,1261,108,3,34847
1060,1262,108,1,34847
1061,1263,108,2,34847
1062,1264,108,3,34847
1063,1265,109,1,36426
1064,1266,109,2,36426
1065,1267,109,3,36426
1066,1268,109,1,37958
1067,1269,109,2,37958
1068,1270,109,3,37958
1069,1271,110,1,55867
1070,1272,110,2,55867
1071,1273,110,3,55867
1072,1274,110,1,43719
1073,1275,110,2,43719
1074,1276,110,3,43719
1075,1277,110,1,43719
1076,1278,110,2,43719
1077,1279,110,3,43719
1078,1280,110,1,55867
1079,1281,110,2,55867
1080,1282,110,3,55867
1081,1283,111,1,40157
1082,1284,111,2,40157
1083,1285,111,3,40157
1084,1286,111,1,40157
1085,1287,111,2,40157
1086,1288,111,3,40157
1087,1289,112,1,98068
1088,1290,112,2,98068
1089,1291,112,3,98068
1090,1292,112,1,98068
1091,1293,112,2,98068
1092,1294,112,3,98068
1093,1295,113,1,97963
1094,1296,113,2,97963
1095,1297,113,3,97963
1096,1298,113,1,97963
1097,1299,113,2,97963
1098,1300,113,3,97963
1099,1301,114,1,54713
1100,1302,114,2,54713
1101,1303,114,3,54713
1102,1304,114,1,54713
1103,1305,114,2,54713
1104,1306,114,3,54713
1105,1307,115,1,54117
1106,1308,115,2,54117
1107,1309,115,3,54117
1108,1310,115,1,54117
1109,1311,115,2,54117
1110,1312,115,3,54117
1111,1313,116,1,37215
1112,1314,116,2,37215
1113,1315,116,3,37215
1114,1316,116,1,36995
1115,1317,116,2,36995
1116,1318,116,3,36995
1117,1319,116,1,36995
1118,1320,116,2,36995
1119,1321,116,3,36995
1120,1322,116,1,37106
1121,1323,116,2,37106
1122,1324,116,3,37106
1123,1325,117,1,7936
1124,1326,117,2,7936
1125,1327,117,3,7936
1126,1328,117,1,28553
1127,1329,117,2,28553
1128,1330,117,3,28553
1129,1331,118,1,58140
1130,1332,118,2,58140
1131,1333,118,3,58140
1132,1334,118,1,58637
1133,1335,118,2,58637
1134,1336,118,3,58637
1135,1337,118,1,58560
1136,1338,118,2,58560
1137,1339,118,3,58560
1138,1340,118,1,58637
1139,1341,118,2,58637
1140,1342,118,3,58637
1141,1343,119,1,29610
