ID,LID,LinkID
1640,14777,5506
1641,14778,5508
1642,14779,5510
1643,14780,5512
1644,14781,5514
1645,14782,5516
1646,14783,5518
1647,14784,5520
1648,14785,5522
1649,14786,5524
1650,14787,5526
1651,14788,5528
1652,14789,5530
1653,14790,5532
1654,14791,5534
1655,14792,5536
1656,14793,5538
1657,14794,5539
1658,14795,5542
1659,14796,5544
1660,14797,5546
1661,14798,5549
1662,14799,5551
1663,14800,5553
1664,14801,5555
1665,14802,5557
1666,14803,5559
1667,14804,5561
1668,14805,5564
1669,14806,5567
1670,14807,5570
1671,14808,5572
1672,14809,5574
1673,14810,5575
1674,14811,5577
1675,14812,5579
1676,14813,5581
1677,14814,5583
1678,14815,5585
1679,14816,5587
1680,14817,5589
1681,14818,5591
1682,14819,5594
1683,14820,5595
1684,14821,5597
1685,14822,5599
1686,14823,5601
1687,14824,5604
1688,14825,5606
1689,14826,5608
1690,14827,5610
1691,14828,5612
1692,14829,5614
1693,14830,5615
1694,14831,5618
1695,14832,5620
1696,14833,5622
1697,14834,5624
1698,14835,5626
1699,14836,5628
1700,14837,5628
1701,14838,5629
1702,14839,5662
1703,14840,5662
